SalesOrderNumber,SalesOrderLineNumber,ProductKey,ResellerKey,EmployeeKey,PromotionKey,CurrencyKey,SalesTerritoryKey,OrderDateKey,DueDateKey,ShipDateKey,OrderQuantity,UnitPrice,ExtendedAmount,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber
RS40046,4,45,30,11,1,3,5,20240724,20240806,20240730,6,499.27,2995.62,0.0,427.6,2565.6,2995.62,224.67,117.11,TRK268252,RESPO603683
RS40047,5,57,15,5,3,1,3,20251022,20251106,20251026,5,35.28,176.4,17.64,20.87,104.35,158.76,11.91,5.08,TRK215159,RESPO380678
RS40048,4,67,24,5,1,4,6,20251105,20251112,20251108,20,49.63,992.6,0.0,28.93,578.6,992.6,74.44,32.83,TRK694706,RESPO212322
RS40048,5,37,16,11,3,3,5,20251115,20251204,20251125,2,596.94,1193.88,119.39,471.59,943.18,1074.49,80.59,51.14,TRK291834,RESPO758001
RS40048,4,68,32,12,4,2,4,20241201,20241217,20241208,8,23.53,188.24,28.24,13.97,111.76,160.0,12.0,6.7,TRK101531,RESPO604385
RS40048,5,24,13,3,1,1,2,20250311,20250321,20250319,6,1646.67,9880.02,0.0,1464.07,8784.42,9880.02,741.0,235.05,TRK802374,RESPO982806
RS40049,3,46,39,5,1,1,3,20240719,20240731,20240728,4,500.88,2003.52,0.0,470.4,1881.6,2003.52,150.26,92.48,TRK895792,RESPO352882
RS40050,5,43,35,13,1,1,2,20250729,20250819,20250802,2,1688.85,3377.7,0.0,1415.45,2830.9,3377.7,253.33,52.61,TRK342540,RESPO530687
RS40050,5,27,3,4,1,1,1,20240315,20240329,20240319,4,1693.38,6773.52,0.0,1624.05,6496.2,6773.52,508.01,125.93,TRK331454,RESPO873874
RS40051,3,28,14,8,1,1,3,20240112,20240129,20240121,1,1800.62,1800.62,0.0,1544.51,1544.51,1800.62,135.05,84.88,TRK319240,RESPO198023
RS40052,6,31,22,10,1,4,6,20240913,20241002,20240918,1,607.14,607.14,0.0,496.89,496.89,607.14,45.54,25.92,TRK146316,RESPO599135
RS40053,2,70,18,2,3,1,1,20240107,20240126,20240115,20,26.27,525.4,52.54,13.17,263.4,472.86,35.46,22.42,TRK446810,RESPO204955
RS40054,3,65,6,14,3,1,2,20241011,20241030,20241020,8,49.64,397.12,39.71,28.43,227.44,357.41,26.81,5.36,TRK683309,RESPO829744
RS40055,2,4,11,5,2,1,3,20251114,20251124,20251116,6,1683.4,10100.4,505.02,1307.47,7844.82,9595.38,719.65,236.37,TRK868019,RESPO288105
RS40056,2,27,13,6,1,1,2,20240303,20240310,20240306,2,1693.38,3386.76,0.0,1624.05,3248.1,3386.76,254.01,129.23,TRK860997,RESPO859233
RS40057,4,47,14,8,1,1,3,20240305,20240312,20240309,6,559.21,3355.26,0.0,455.26,2731.56,3355.26,251.64,148.22,TRK492729,RESPO136835
RS40058,1,23,35,13,1,1,2,20240610,20240623,20240615,1,1640.7,1640.7,0.0,1453.1,1453.1,1640.7,123.05,36.77,TRK833675,RESPO952072
RS40059,4,35,11,8,1,1,3,20250831,20250913,20250904,4,546.42,2185.68,0.0,467.94,1871.76,2185.68,163.93,73.55,TRK740626,RESPO977333
RS40060,5,36,29,6,2,4,6,20240121,20240204,20240124,3,537.0,1611.0,80.55,520.44,1561.32,1530.45,114.78,33.47,TRK709644,RESPO220950
RS40061,6,7,9,12,2,2,4,20240425,20240511,20240429,6,1098.01,6588.06,329.4,904.22,5425.32,6258.66,469.4,216.56,TRK155398,RESPO643114
RS40062,1,69,12,9,1,3,5,20240221,20240302,20240302,8,23.46,187.68,0.0,14.58,116.64,187.68,14.08,6.15,TRK679104,RESPO187627
RS40062,1,68,22,9,1,4,6,20241206,20241219,20241215,5,23.53,117.65,0.0,13.97,69.85,117.65,8.82,4.03,TRK991546,RESPO978603
RS40063,4,18,14,5,2,1,3,20250614,20250702,20250624,6,381.25,2287.5,114.38,312.58,1875.48,2173.12,162.98,43.84,TRK184050,RESPO873577
RS40063,1,59,21,3,1,4,6,20241211,20241230,20241213,20,34.14,682.8,0.0,22.49,449.8,682.8,51.21,10.96,TRK948924,RESPO858214
RS40064,2,11,2,12,3,2,4,20251014,20251028,20251017,2,1246.13,2492.26,249.23,980.12,1960.24,2243.03,168.23,79.64,TRK560302,RESPO921716
RS40065,3,48,35,3,2,1,2,20250911,20250923,20250919,6,496.93,2981.58,149.08,452.27,2713.62,2832.5,212.44,45.05,TRK804830,RESPO220751
RS40066,5,38,33,10,1,1,2,20250712,20250727,20250721,3,1759.17,5277.51,0.0,1457.25,4371.75,5277.51,395.81,229.29,TRK401134,RESPO614996
RS40066,3,10,34,3,3,4,6,20241022,20241104,20241031,2,1246.82,2493.64,249.36,874.99,1749.98,2244.28,168.32,73.05,TRK142344,RESPO631778
RS40066,4,60,28,3,2,1,2,20240103,20240115,20240110,5,35.89,179.45,8.97,20.78,103.9,170.48,12.79,6.51,TRK192996,RESPO479025
RS40067,3,36,34,9,1,4,6,20250730,20250814,20250804,2,537.0,1074.0,0.0,520.44,1040.88,1074.0,80.55,20.73,TRK437264,RESPO487518
RS40068,1,47,4,12,3,2,4,20250119,20250205,20250128,2,559.21,1118.42,111.84,455.26,910.52,1006.58,75.49,40.8,TRK155613,RESPO526489
RS40069,1,31,14,8,3,1,3,20250725,20250813,20250804,5,607.14,3035.7,303.57,496.89,2484.45,2732.13,204.91,84.97,TRK293741,RESPO231875
RS40070,5,8,5,12,3,2,4,20250205,20250226,20250215,1,1216.49,1216.49,121.65,956.83,956.83,1094.84,82.11,26.11,TRK874379,RESPO105213
RS40071,2,34,17,6,3,1,2,20250525,20250607,20250530,5,538.63,2693.15,269.31,449.62,2248.1,2423.84,181.79,111.05,TRK653985,RESPO779207
RS40072,6,52,5,12,1,2,4,20240308,20240319,20240312,8,15.56,124.48,0.0,8.05,64.4,124.48,9.34,2.48,TRK647066,RESPO699177
RS40073,6,53,20,11,1,3,5,20250305,20250323,20250315,8,33.96,271.68,0.0,22.5,180.0,271.68,20.38,11.27,TRK551819,RESPO324263
RS40074,6,40,7,12,1,2,4,20240211,20240224,20240215,1,1651.91,1651.91,0.0,1421.92,1421.92,1651.91,123.89,72.31,TRK471904,RESPO886739
RS40075,5,38,24,14,1,4,6,20240822,20240908,20240826,1,1759.17,1759.17,0.0,1457.25,1457.25,1759.17,131.94,70.79,TRK408106,RESPO300982
RS40076,5,11,2,12,1,2,4,20241013,20241028,20241015,4,1246.13,4984.52,0.0,980.12,3920.48,4984.52,373.84,225.34,TRK909539,RESPO336838
RS40076,3,48,7,12,2,2,4,20250615,20250703,20250619,5,496.93,2484.65,124.23,452.27,2261.35,2360.42,177.03,50.15,TRK588303,RESPO739731
RS40077,2,44,4,12,2,2,4,20240228,20240320,20240304,3,576.77,1730.31,86.52,461.7,1385.1,1643.79,123.28,81.79,TRK319086,RESPO902209
RS40078,2,25,23,7,2,1,1,20240505,20240524,20240508,3,1797.15,5391.45,269.57,1485.17,4455.51,5121.88,384.14,147.59,TRK194432,RESPO199168
RS40079,2,59,39,8,3,1,3,20240506,20240516,20240509,20,34.14,682.8,68.28,22.49,449.8,614.52,46.09,20.93,TRK761518,RESPO811755
RS40080,4,64,13,6,1,1,2,20241126,20241216,20241128,8,32.57,260.56,0.0,23.51,188.08,260.56,19.54,13.02,TRK858498,RESPO180573
RS40081,4,65,6,13,4,1,2,20240407,20240426,20240417,10,49.64,496.4,74.46,28.43,284.3,421.94,31.65,13.15,TRK855274,RESPO649950
RS40082,4,2,1,9,3,3,5,20240131,20240208,20240210,2,1526.98,3053.96,305.4,1338.0,2676.0,2748.56,206.14,97.61,TRK234120,RESPO978283
RS40083,3,68,39,5,2,1,3,20241207,20241225,20241213,8,23.53,188.24,9.41,13.97,111.76,178.83,13.41,5.64,TRK963020,RESPO725026
RS40084,3,54,8,15,3,4,6,20251127,20251206,20251129,5,33.08,165.4,16.54,21.77,108.85,148.86,11.16,3.35,TRK179955,RESPO426346
RS40085,2,10,39,5,2,1,3,20250811,20250821,20250819,5,1246.82,6234.1,311.71,874.99,4374.95,5922.39,444.18,148.29,TRK655628,RESPO600534
RS40085,2,4,22,10,3,4,6,20250221,20250303,20250303,2,1683.4,3366.8,336.68,1307.47,2614.94,3030.12,227.26,66.1,TRK255065,RESPO177071
RS40085,6,58,16,11,1,3,5,20240319,20240406,20240325,10,37.61,376.1,0.0,23.3,233.0,376.1,28.21,6.86,TRK236369,RESPO644924
RS40085,4,53,35,3,2,1,2,20241211,20241224,20241213,10,33.96,339.6,16.98,22.5,225.0,322.62,24.2,7.52,TRK644566,RESPO827382
RS40085,1,15,7,12,3,2,4,20240119,20240203,20240124,4,410.41,1641.64,164.16,315.14,1260.56,1477.48,110.81,70.71,TRK478873,RESPO509563
RS40085,2,12,26,5,1,1,3,20250411,20250419,20250415,4,1157.64,4630.56,0.0,897.63,3590.52,4630.56,347.29,81.24,TRK904881,RESPO329222
RS40086,1,44,17,10,3,1,2,20250605,20250619,20250614,1,576.77,576.77,57.68,461.7,461.7,519.09,38.93,17.78,TRK545092,RESPO900117
RS40087,2,19,36,5,3,1,3,20241024,20241104,20241103,5,2711.94,13559.7,1355.97,2212.17,11060.85,12203.73,915.28,503.26,TRK105199,RESPO932371
RS40088,5,58,34,13,1,4,6,20240831,20240918,20240910,8,37.61,300.88,0.0,23.3,186.4,300.88,22.57,9.54,TRK243125,RESPO527249
RS40089,4,28,3,2,1,1,1,20240507,20240525,20240509,6,1800.62,10803.72,0.0,1544.51,9267.06,10803.72,810.28,182.25,TRK735103,RESPO962198
RS40090,2,65,4,12,2,2,4,20240307,20240328,20240309,15,49.64,744.6,37.23,28.43,426.45,707.37,53.05,30.5,TRK849367,RESPO575118
RS40091,5,22,17,13,2,1,2,20250930,20251016,20251008,5,2464.01,12320.05,616.0,2097.84,10489.2,11704.05,877.8,561.69,TRK918433,RESPO788674
RS40092,6,59,19,12,1,2,4,20250702,20250718,20250707,15,34.14,512.1,0.0,22.49,337.35,512.1,38.41,21.73,TRK254069,RESPO446401
RS40092,2,14,37,10,3,1,2,20241113,20241122,20241118,1,363.46,363.46,36.35,290.0,290.0,327.11,24.53,11.43,TRK213618,RESPO293938
RS40093,5,38,15,5,1,1,3,20250727,20250814,20250729,4,1759.17,7036.68,0.0,1457.25,5829.0,7036.68,527.75,342.14,TRK685009,RESPO595952
RS40094,2,51,10,1,3,3,5,20240201,20240212,20240211,12,5.31,63.72,6.37,2.07,24.84,57.35,4.3,2.15,TRK859589,RESPO339191
RS40094,5,29,34,6,2,4,6,20250105,20250114,20250115,6,533.41,3200.46,160.02,503.82,3022.92,3040.44,228.03,114.8,TRK893784,RESPO118349
RS40094,5,1,19,12,3,2,4,20240430,20240516,20240508,4,1619.34,6477.36,647.74,1293.6,5174.4,5829.62,437.22,287.73,TRK457920,RESPO131394
RS40095,3,19,36,8,3,1,3,20250711,20250719,20250721,5,2711.94,13559.7,1355.97,2212.17,11060.85,12203.73,915.28,472.03,TRK501010,RESPO700743
RS40096,4,45,25,12,1,2,4,20240809,20240817,20240813,6,499.27,2995.62,0.0,427.6,2565.6,2995.62,224.67,46.5,TRK903724,RESPO299529
RS40097,3,41,34,10,4,4,6,20240503,20240516,20240513,3,1733.34,5200.02,780.0,1425.74,4277.22,4420.02,331.5,105.27,TRK256187,RESPO352288
RS40098,2,40,38,8,3,1,3,20240131,20240207,20240202,6,1651.91,9911.46,991.15,1421.92,8531.52,8920.31,669.02,393.73,TRK800151,RESPO993604
RS40099,4,56,33,14,3,1,2,20250202,20250217,20250207,12,37.4,448.8,44.88,21.17,254.04,403.92,30.29,6.94,TRK178702,RESPO185159
RS40100,3,43,13,3,3,1,2,20250119,20250127,20250125,1,1688.85,1688.85,168.88,1415.45,1415.45,1519.97,114.0,50.88,TRK760458,RESPO735996
RS40101,5,42,5,12,1,2,4,20240630,20240714,20240708,4,1739.71,6958.84,0.0,1576.33,6305.32,6958.84,521.91,314.55,TRK757433,RESPO250625
RS40102,5,48,4,12,1,2,4,20240118,20240129,20240126,6,496.93,2981.58,0.0,452.27,2713.62,2981.58,223.62,138.2,TRK270196,RESPO161008
RS40103,3,18,29,12,3,4,6,20250225,20250304,20250307,4,381.25,1525.0,152.5,312.58,1250.32,1372.5,102.94,52.84,TRK937463,RESPO196541
RS40104,3,61,32,12,4,2,4,20250801,20250808,20250809,5,36.76,183.8,27.57,22.14,110.7,156.23,11.72,6.17,TRK649434,RESPO807403
RS40104,3,34,35,3,1,1,2,20250409,20250421,20250413,2,538.63,1077.26,0.0,449.62,899.24,1077.26,80.79,24.91,TRK312460,RESPO461487
RS40104,2,14,26,8,3,1,3,20250420,20250507,20250423,5,363.46,1817.3,181.73,290.0,1450.0,1635.57,122.67,25.14,TRK182412,RESPO732214
RS40105,6,1,11,8,1,1,3,20250308,20250320,20250312,1,1619.34,1619.34,0.0,1293.6,1293.6,1619.34,121.45,37.78,TRK590448,RESPO619829
RS40106,3,45,35,13,1,1,2,20250403,20250414,20250409,1,499.27,499.27,0.0,427.6,427.6,499.27,37.45,8.79,TRK721338,RESPO151573
RS40106,1,42,11,5,3,1,3,20241028,20241110,20241103,2,1739.71,3479.42,347.94,1576.33,3152.66,3131.48,234.86,102.9,TRK398593,RESPO155469
RS40107,2,58,16,9,1,3,5,20240414,20240505,20240423,20,37.61,752.2,0.0,23.3,466.0,752.2,56.41,21.77,TRK876907,RESPO929357
RS40107,5,66,32,12,1,2,4,20240614,20240629,20240618,8,45.36,362.88,0.0,25.09,200.72,362.88,27.22,13.56,TRK207309,RESPO758784
RS40107,6,34,13,14,1,1,2,20250713,20250730,20250722,4,538.63,2154.52,0.0,449.62,1798.48,2154.52,161.59,57.97,TRK345224,RESPO894693
RS40108,3,30,28,14,3,1,2,20250611,20250624,20250613,2,532.71,1065.42,106.54,476.63,953.26,958.88,71.92,20.33,TRK454912,RESPO340027
RS40109,4,58,37,3,3,1,2,20250825,20250911,20250828,12,37.61,451.32,45.13,23.3,279.6,406.19,30.46,13.84,TRK575606,RESPO601556
RS40110,1,52,4,12,3,2,4,20250614,20250626,20250616,8,15.56,124.48,12.45,8.05,64.4,112.03,8.4,4.74,TRK494387,RESPO666881
RS40111,4,11,10,9,1,3,5,20241223,20250109,20241230,2,1246.13,2492.26,0.0,980.12,1960.24,2492.26,186.92,65.99,TRK115552,RESPO915044
RS40111,5,70,22,8,2,4,6,20250218,20250307,20250222,5,26.27,131.35,6.57,13.17,65.85,124.78,9.36,4.36,TRK176287,RESPO698336
RS40112,6,42,9,12,3,2,4,20240210,20240221,20240215,4,1739.71,6958.84,695.88,1576.33,6305.32,6262.96,469.72,216.16,TRK550846,RESPO753721
RS40112,3,70,39,8,3,1,3,20240611,20240630,20240613,15,26.27,394.05,39.41,13.17,197.55,354.64,26.6,6.89,TRK734563,RESPO825397
RS40113,2,70,15,8,2,1,3,20240913,20240924,20240920,20,26.27,525.4,26.27,13.17,263.4,499.13,37.43,16.35,TRK987237,RESPO871148
RS40114,4,66,40,5,1,1,3,20241221,20250109,20241223,20,45.36,907.2,0.0,25.09,501.8,907.2,68.04,27.96,TRK829054,RESPO786642
RS40115,2,12,29,6,1,4,6,20250711,20250726,20250715,2,1157.64,2315.28,0.0,897.63,1795.26,2315.28,173.65,67.28,TRK127491,RESPO745485
RS40116,4,36,29,7,4,4,6,20240306,20240320,20240316,1,537.0,537.0,80.55,520.44,520.44,456.45,34.23,18.34,TRK616393,RESPO503150
RS40116,2,20,35,14,3,1,2,20250601,20250613,20250611,5,2725.25,13626.25,1362.62,2197.87,10989.35,12263.63,919.77,397.38,TRK704823,RESPO305681
RS40117,2,5,32,12,1,2,4,20250212,20250224,20250214,6,1564.21,9385.26,0.0,1294.67,7768.02,9385.26,703.89,352.17,TRK829286,RESPO382410
RS40118,1,47,2,12,2,2,4,20241205,20241222,20241208,4,559.21,2236.84,111.84,455.26,1821.04,2125.0,159.38,82.87,TRK276076,RESPO393178
RS40119,5,23,35,10,1,1,2,20240705,20240718,20240710,3,1640.7,4922.1,0.0,1453.1,4359.3,4922.1,369.16,234.77,TRK247172,RESPO470168
RS40119,3,38,40,5,1,1,3,20240516,20240604,20240524,6,1759.17,10555.02,0.0,1457.25,8743.5,10555.02,791.63,410.84,TRK970641,RESPO332990
RS40120,3,70,13,14,1,1,2,20240617,20240626,20240627,5,26.27,131.35,0.0,13.17,65.85,131.35,9.85,3.17,TRK898488,RESPO454301
RS40120,2,23,31,12,1,2,4,20250812,20250901,20250817,4,1640.7,6562.8,0.0,1453.1,5812.4,6562.8,492.21,137.92,TRK460002,RESPO655473
RS40121,3,48,39,5,3,1,3,20250531,20250612,20250602,2,496.93,993.86,99.39,452.27,904.54,894.47,67.09,16.74,TRK777192,RESPO613416
RS40122,6,34,34,7,1,4,6,20250916,20250927,20250922,5,538.63,2693.15,0.0,449.62,2248.1,2693.15,201.99,70.6,TRK335097,RESPO107971
RS40123,1,40,13,14,3,1,2,20250608,20250629,20250617,1,1651.91,1651.91,165.19,1421.92,1421.92,1486.72,111.5,65.19,TRK728098,RESPO607771
RS40124,1,7,11,5,3,1,3,20241207,20241215,20241214,5,1098.01,5490.05,549.0,904.22,4521.1,4941.05,370.58,174.76,TRK320395,RESPO513695
RS40125,2,12,20,11,1,3,5,20241130,20241218,20241204,3,1157.64,3472.92,0.0,897.63,2692.89,3472.92,260.47,152.69,TRK483894,RESPO749466
RS40125,4,54,14,8,3,1,3,20250621,20250711,20250628,20,33.08,661.6,66.16,21.77,435.4,595.44,44.66,10.96,TRK148016,RESPO116836
RS40125,1,35,40,5,3,1,3,20240421,20240428,20240428,6,546.42,3278.52,327.85,467.94,2807.64,2950.67,221.3,73.54,TRK285938,RESPO578814
RS40126,2,68,25,12,2,2,4,20250429,20250518,20250508,20,23.53,470.6,23.53,13.97,279.4,447.07,33.53,15.49,TRK107053,RESPO384879
