Date,Year,Month Number,Month,Month Year,Quarter,Year-Month,Day,Weekday,Weekday Number
2000-03-02,2000,3,Mar,Mar 2000,Q1,2000-03,2,Thu,4
2000-03-03,2000,3,Mar,Mar 2000,Q1,2000-03,3,Fri,5
2000-03-04,2000,3,Mar,Mar 2000,Q1,2000-03,4,Sat,6
2000-03-05,2000,3,Mar,Mar 2000,Q1,2000-03,5,Sun,7
2000-03-06,2000,3,Mar,Mar 2000,Q1,2000-03,6,Mon,1
2000-03-07,2000,3,Mar,Mar 2000,Q1,2000-03,7,Tue,2
2000-03-08,2000,3,Mar,Mar 2000,Q1,2000-03,8,Wed,3
2000-03-09,2000,3,Mar,Mar 2000,Q1,2000-03,9,Thu,4
2000-03-10,2000,3,Mar,Mar 2000,Q1,2000-03,10,Fri,5
2000-03-11,2000,3,Mar,Mar 2000,Q1,2000-03,11,Sat,6
2000-03-12,2000,3,Mar,Mar 2000,Q1,2000-03,12,Sun,7
2000-03-13,2000,3,Mar,Mar 2000,Q1,2000-03,13,Mon,1
2000-03-14,2000,3,Mar,Mar 2000,Q1,2000-03,14,Tue,2
2000-03-15,2000,3,Mar,Mar 2000,Q1,2000-03,15,Wed,3
2000-03-16,2000,3,Mar,Mar 2000,Q1,2000-03,16,Thu,4
2000-03-17,2000,3,Mar,Mar 2000,Q1,2000-03,17,Fri,5
2000-03-18,2000,3,Mar,Mar 2000,Q1,2000-03,18,Sat,6
2000-03-19,2000,3,Mar,Mar 2000,Q1,2000-03,19,Sun,7
2000-03-20,2000,3,Mar,Mar 2000,Q1,2000-03,20,Mon,1
2000-03-21,2000,3,Mar,Mar 2000,Q1,2000-03,21,Tue,2
2000-03-22,2000,3,Mar,Mar 2000,Q1,2000-03,22,Wed,3
2000-03-23,2000,3,Mar,Mar 2000,Q1,2000-03,23,Thu,4
2000-03-24,2000,3,Mar,Mar 2000,Q1,2000-03,24,Fri,5
2000-03-25,2000,3,Mar,Mar 2000,Q1,2000-03,25,Sat,6
2000-03-26,2000,3,Mar,Mar 2000,Q1,2000-03,26,Sun,7
2000-03-27,2000,3,Mar,Mar 2000,Q1,2000-03,27,Mon,1
2000-03-28,2000,3,Mar,Mar 2000,Q1,2000-03,28,Tue,2
2000-03-29,2000,3,Mar,Mar 2000,Q1,2000-03,29,Wed,3
2000-03-30,2000,3,Mar,Mar 2000,Q1,2000-03,30,Thu,4
2000-03-31,2000,3,Mar,Mar 2000,Q1,2000-03,31,Fri,5
2000-04-01,2000,4,Apr,Apr 2000,Q2,2000-04,1,Sat,6
2000-04-02,2000,4,Apr,Apr 2000,Q2,2000-04,2,Sun,7
2000-04-03,2000,4,Apr,Apr 2000,Q2,2000-04,3,Mon,1
2000-04-04,2000,4,Apr,Apr 2000,Q2,2000-04,4,Tue,2
2000-04-05,2000,4,Apr,Apr 2000,Q2,2000-04,5,Wed,3
2000-04-06,2000,4,Apr,Apr 2000,Q2,2000-04,6,Thu,4
2000-04-07,2000,4,Apr,Apr 2000,Q2,2000-04,7,Fri,5
2000-04-08,2000,4,Apr,Apr 2000,Q2,2000-04,8,Sat,6
2000-04-09,2000,4,Apr,Apr 2000,Q2,2000-04,9,Sun,7
2000-04-10,2000,4,Apr,Apr 2000,Q2,2000-04,10,Mon,1
2000-04-11,2000,4,Apr,Apr 2000,Q2,2000-04,11,Tue,2
2000-04-12,2000,4,Apr,Apr 2000,Q2,2000-04,12,Wed,3
2000-04-13,2000,4,Apr,Apr 2000,Q2,2000-04,13,Thu,4
2000-04-14,2000,4,Apr,Apr 2000,Q2,2000-04,14,Fri,5
2000-04-15,2000,4,Apr,Apr 2000,Q2,2000-04,15,Sat,6
2000-04-16,2000,4,Apr,Apr 2000,Q2,2000-04,16,Sun,7
2000-04-17,2000,4,Apr,Apr 2000,Q2,2000-04,17,Mon,1
2000-04-18,2000,4,Apr,Apr 2000,Q2,2000-04,18,Tue,2
2000-04-19,2000,4,Apr,Apr 2000,Q2,2000-04,19,Wed,3
2000-04-20,2000,4,Apr,Apr 2000,Q2,2000-04,20,Thu,4
2000-04-21,2000,4,Apr,Apr 2000,Q2,2000-04,21,Fri,5
2000-04-22,2000,4,Apr,Apr 2000,Q2,2000-04,22,Sat,6
2000-04-23,2000,4,Apr,Apr 2000,Q2,2000-04,23,Sun,7
2000-04-24,2000,4,Apr,Apr 2000,Q2,2000-04,24,Mon,1
2000-04-25,2000,4,Apr,Apr 2000,Q2,2000-04,25,Tue,2
2000-04-26,2000,4,Apr,Apr 2000,Q2,2000-04,26,Wed,3
2000-04-27,2000,4,Apr,Apr 2000,Q2,2000-04,27,Thu,4
2000-04-28,2000,4,Apr,Apr 2000,Q2,2000-04,28,Fri,5
2000-04-29,2000,4,Apr,Apr 2000,Q2,2000-04,29,Sat,6
2000-04-30,2000,4,Apr,Apr 2000,Q2,2000-04,30,Sun,7
2000-05-01,2000,5,May,May 2000,Q2,2000-05,1,Mon,1
2000-05-02,2000,5,May,May 2000,Q2,2000-05,2,Tue,2
2000-05-03,2000,5,May,May 2000,Q2,2000-05,3,Wed,3
2000-05-04,2000,5,May,May 2000,Q2,2000-05,4,Thu,4
2000-05-05,2000,5,May,May 2000,Q2,2000-05,5,Fri,5
2000-05-06,2000,5,May,May 2000,Q2,2000-05,6,Sat,6
2000-05-07,2000,5,May,May 2000,Q2,2000-05,7,Sun,7
2000-05-08,2000,5,May,May 2000,Q2,2000-05,8,Mon,1
2000-05-09,2000,5,May,May 2000,Q2,2000-05,9,Tue,2
2000-05-10,2000,5,May,May 2000,Q2,2000-05,10,Wed,3
2000-05-11,2000,5,May,May 2000,Q2,2000-05,11,Thu,4
2000-05-12,2000,5,May,May 2000,Q2,2000-05,12,Fri,5
2000-05-13,2000,5,May,May 2000,Q2,2000-05,13,Sat,6
2000-05-14,2000,5,May,May 2000,Q2,2000-05,14,Sun,7
2000-05-15,2000,5,May,May 2000,Q2,2000-05,15,Mon,1
2000-05-16,2000,5,May,May 2000,Q2,2000-05,16,Tue,2
2000-05-17,2000,5,May,May 2000,Q2,2000-05,17,Wed,3
2000-05-18,2000,5,May,May 2000,Q2,2000-05,18,Thu,4
2000-05-19,2000,5,May,May 2000,Q2,2000-05,19,Fri,5
2000-05-20,2000,5,May,May 2000,Q2,2000-05,20,Sat,6
2000-05-21,2000,5,May,May 2000,Q2,2000-05,21,Sun,7
2000-05-22,2000,5,May,May 2000,Q2,2000-05,22,Mon,1
2000-05-23,2000,5,May,May 2000,Q2,2000-05,23,Tue,2
2000-05-24,2000,5,May,May 2000,Q2,2000-05,24,Wed,3
2000-05-25,2000,5,May,May 2000,Q2,2000-05,25,Thu,4
2000-05-26,2000,5,May,May 2000,Q2,2000-05,26,Fri,5
2000-05-27,2000,5,May,May 2000,Q2,2000-05,27,Sat,6
2000-05-28,2000,5,May,May 2000,Q2,2000-05,28,Sun,7
2000-05-29,2000,5,May,May 2000,Q2,2000-05,29,Mon,1
2000-05-30,2000,5,May,May 2000,Q2,2000-05,30,Tue,2
2000-05-31,2000,5,May,May 2000,Q2,2000-05,31,Wed,3
2000-06-01,2000,6,Jun,Jun 2000,Q2,2000-06,1,Thu,4
2000-06-02,2000,6,Jun,Jun 2000,Q2,2000-06,2,Fri,5
2000-06-03,2000,6,Jun,Jun 2000,Q2,2000-06,3,Sat,6
2000-06-04,2000,6,Jun,Jun 2000,Q2,2000-06,4,Sun,7
2000-06-05,2000,6,Jun,Jun 2000,Q2,2000-06,5,Mon,1
2000-06-06,2000,6,Jun,Jun 2000,Q2,2000-06,6,Tue,2
2000-06-07,2000,6,Jun,Jun 2000,Q2,2000-06,7,Wed,3
2000-06-08,2000,6,Jun,Jun 2000,Q2,2000-06,8,Thu,4
2000-06-09,2000,6,Jun,Jun 2000,Q2,2000-06,9,Fri,5
2000-06-10,2000,6,Jun,Jun 2000,Q2,2000-06,10,Sat,6
2000-06-11,2000,6,Jun,Jun 2000,Q2,2000-06,11,Sun,7
2000-06-12,2000,6,Jun,Jun 2000,Q2,2000-06,12,Mon,1
2000-06-13,2000,6,Jun,Jun 2000,Q2,2000-06,13,Tue,2
2000-06-14,2000,6,Jun,Jun 2000,Q2,2000-06,14,Wed,3
2000-06-15,2000,6,Jun,Jun 2000,Q2,2000-06,15,Thu,4
2000-06-16,2000,6,Jun,Jun 2000,Q2,2000-06,16,Fri,5
2000-06-17,2000,6,Jun,Jun 2000,Q2,2000-06,17,Sat,6
2000-06-18,2000,6,Jun,Jun 2000,Q2,2000-06,18,Sun,7
2000-06-19,2000,6,Jun,Jun 2000,Q2,2000-06,19,Mon,1
2000-06-20,2000,6,Jun,Jun 2000,Q2,2000-06,20,Tue,2
2000-06-21,2000,6,Jun,Jun 2000,Q2,2000-06,21,Wed,3
2000-06-22,2000,6,Jun,Jun 2000,Q2,2000-06,22,Thu,4
2000-06-23,2000,6,Jun,Jun 2000,Q2,2000-06,23,Fri,5
2000-06-24,2000,6,Jun,Jun 2000,Q2,2000-06,24,Sat,6
2000-06-25,2000,6,Jun,Jun 2000,Q2,2000-06,25,Sun,7
2000-06-26,2000,6,Jun,Jun 2000,Q2,2000-06,26,Mon,1
2000-06-27,2000,6,Jun,Jun 2000,Q2,2000-06,27,Tue,2
2000-06-28,2000,6,Jun,Jun 2000,Q2,2000-06,28,Wed,3
2000-06-29,2000,6,Jun,Jun 2000,Q2,2000-06,29,Thu,4
2000-06-30,2000,6,Jun,Jun 2000,Q2,2000-06,30,Fri,5
2000-07-01,2000,7,Jul,Jul 2000,Q3,2000-07,1,Sat,6
2000-07-02,2000,7,Jul,Jul 2000,Q3,2000-07,2,Sun,7
2000-07-03,2000,7,Jul,Jul 2000,Q3,2000-07,3,Mon,1
2000-07-04,2000,7,Jul,Jul 2000,Q3,2000-07,4,Tue,2
2000-07-05,2000,7,Jul,Jul 2000,Q3,2000-07,5,Wed,3
2000-07-06,2000,7,Jul,Jul 2000,Q3,2000-07,6,Thu,4
2000-07-07,2000,7,Jul,Jul 2000,Q3,2000-07,7,Fri,5
2000-07-08,2000,7,Jul,Jul 2000,Q3,2000-07,8,Sat,6
2000-07-09,2000,7,Jul,Jul 2000,Q3,2000-07,9,Sun,7
2000-07-10,2000,7,Jul,Jul 2000,Q3,2000-07,10,Mon,1
2000-07-11,2000,7,Jul,Jul 2000,Q3,2000-07,11,Tue,2
2000-07-12,2000,7,Jul,Jul 2000,Q3,2000-07,12,Wed,3
2000-07-13,2000,7,Jul,Jul 2000,Q3,2000-07,13,Thu,4
2000-07-14,2000,7,Jul,Jul 2000,Q3,2000-07,14,Fri,5
2000-07-15,2000,7,Jul,Jul 2000,Q3,2000-07,15,Sat,6
2000-07-16,2000,7,Jul,Jul 2000,Q3,2000-07,16,Sun,7
2000-07-17,2000,7,Jul,Jul 2000,Q3,2000-07,17,Mon,1
2000-07-18,2000,7,Jul,Jul 2000,Q3,2000-07,18,Tue,2
2000-07-19,2000,7,Jul,Jul 2000,Q3,2000-07,19,Wed,3
2000-07-20,2000,7,Jul,Jul 2000,Q3,2000-07,20,Thu,4
2000-07-21,2000,7,Jul,Jul 2000,Q3,2000-07,21,Fri,5
2000-07-22,2000,7,Jul,Jul 2000,Q3,2000-07,22,Sat,6
2000-07-23,2000,7,Jul,Jul 2000,Q3,2000-07,23,Sun,7
2000-07-24,2000,7,Jul,Jul 2000,Q3,2000-07,24,Mon,1
2000-07-25,2000,7,Jul,Jul 2000,Q3,2000-07,25,Tue,2
2000-07-26,2000,7,Jul,Jul 2000,Q3,2000-07,26,Wed,3
2000-07-27,2000,7,Jul,Jul 2000,Q3,2000-07,27,Thu,4
2000-07-28,2000,7,Jul,Jul 2000,Q3,2000-07,28,Fri,5
2000-07-29,2000,7,Jul,Jul 2000,Q3,2000-07,29,Sat,6
2000-07-30,2000,7,Jul,Jul 2000,Q3,2000-07,30,Sun,7
2000-07-31,2000,7,Jul,Jul 2000,Q3,2000-07,31,Mon,1
2000-08-01,2000,8,Aug,Aug 2000,Q3,2000-08,1,Tue,2
2000-08-02,2000,8,Aug,Aug 2000,Q3,2000-08,2,Wed,3
2000-08-03,2000,8,Aug,Aug 2000,Q3,2000-08,3,Thu,4
2000-08-04,2000,8,Aug,Aug 2000,Q3,2000-08,4,Fri,5
2000-08-05,2000,8,Aug,Aug 2000,Q3,2000-08,5,Sat,6
2000-08-06,2000,8,Aug,Aug 2000,Q3,2000-08,6,Sun,7
2000-08-07,2000,8,Aug,Aug 2000,Q3,2000-08,7,Mon,1
2000-08-08,2000,8,Aug,Aug 2000,Q3,2000-08,8,Tue,2
2000-08-09,2000,8,Aug,Aug 2000,Q3,2000-08,9,Wed,3
2000-08-10,2000,8,Aug,Aug 2000,Q3,2000-08,10,Thu,4
2000-08-11,2000,8,Aug,Aug 2000,Q3,2000-08,11,Fri,5
2000-08-12,2000,8,Aug,Aug 2000,Q3,2000-08,12,Sat,6
2000-08-13,2000,8,Aug,Aug 2000,Q3,2000-08,13,Sun,7
2000-08-14,2000,8,Aug,Aug 2000,Q3,2000-08,14,Mon,1
2000-08-15,2000,8,Aug,Aug 2000,Q3,2000-08,15,Tue,2
2000-08-16,2000,8,Aug,Aug 2000,Q3,2000-08,16,Wed,3
2000-08-17,2000,8,Aug,Aug 2000,Q3,2000-08,17,Thu,4
2000-08-18,2000,8,Aug,Aug 2000,Q3,2000-08,18,Fri,5
2000-08-19,2000,8,Aug,Aug 2000,Q3,2000-08,19,Sat,6
2000-08-20,2000,8,Aug,Aug 2000,Q3,2000-08,20,Sun,7
2000-08-21,2000,8,Aug,Aug 2000,Q3,2000-08,21,Mon,1
2000-08-22,2000,8,Aug,Aug 2000,Q3,2000-08,22,Tue,2
2000-08-23,2000,8,Aug,Aug 2000,Q3,2000-08,23,Wed,3
2000-08-24,2000,8,Aug,Aug 2000,Q3,2000-08,24,Thu,4
2000-08-25,2000,8,Aug,Aug 2000,Q3,2000-08,25,Fri,5
2000-08-26,2000,8,Aug,Aug 2000,Q3,2000-08,26,Sat,6
2000-08-27,2000,8,Aug,Aug 2000,Q3,2000-08,27,Sun,7
2000-08-28,2000,8,Aug,Aug 2000,Q3,2000-08,28,Mon,1
2000-08-29,2000,8,Aug,Aug 2000,Q3,2000-08,29,Tue,2
2000-08-30,2000,8,Aug,Aug 2000,Q3,2000-08,30,Wed,3
2000-08-31,2000,8,Aug,Aug 2000,Q3,2000-08,31,Thu,4
2000-09-01,2000,9,Sep,Sep 2000,Q3,2000-09,1,Fri,5
2000-09-02,2000,9,Sep,Sep 2000,Q3,2000-09,2,Sat,6
2000-09-03,2000,9,Sep,Sep 2000,Q3,2000-09,3,Sun,7
2000-09-04,2000,9,Sep,Sep 2000,Q3,2000-09,4,Mon,1
2000-09-05,2000,9,Sep,Sep 2000,Q3,2000-09,5,Tue,2
2000-09-06,2000,9,Sep,Sep 2000,Q3,2000-09,6,Wed,3
2000-09-07,2000,9,Sep,Sep 2000,Q3,2000-09,7,Thu,4
2000-09-08,2000,9,Sep,Sep 2000,Q3,2000-09,8,Fri,5
2000-09-09,2000,9,Sep,Sep 2000,Q3,2000-09,9,Sat,6
2000-09-10,2000,9,Sep,Sep 2000,Q3,2000-09,10,Sun,7
2000-09-11,2000,9,Sep,Sep 2000,Q3,2000-09,11,Mon,1
2000-09-12,2000,9,Sep,Sep 2000,Q3,2000-09,12,Tue,2
2000-09-13,2000,9,Sep,Sep 2000,Q3,2000-09,13,Wed,3
2000-09-14,2000,9,Sep,Sep 2000,Q3,2000-09,14,Thu,4
2000-09-15,2000,9,Sep,Sep 2000,Q3,2000-09,15,Fri,5
2000-09-16,2000,9,Sep,Sep 2000,Q3,2000-09,16,Sat,6
2000-09-17,2000,9,Sep,Sep 2000,Q3,2000-09,17,Sun,7
2000-09-18,2000,9,Sep,Sep 2000,Q3,2000-09,18,Mon,1
2000-09-19,2000,9,Sep,Sep 2000,Q3,2000-09,19,Tue,2
2000-09-20,2000,9,Sep,Sep 2000,Q3,2000-09,20,Wed,3
2000-09-21,2000,9,Sep,Sep 2000,Q3,2000-09,21,Thu,4
2000-09-22,2000,9,Sep,Sep 2000,Q3,2000-09,22,Fri,5
2000-09-23,2000,9,Sep,Sep 2000,Q3,2000-09,23,Sat,6
2000-09-24,2000,9,Sep,Sep 2000,Q3,2000-09,24,Sun,7
2000-09-25,2000,9,Sep,Sep 2000,Q3,2000-09,25,Mon,1
2000-09-26,2000,9,Sep,Sep 2000,Q3,2000-09,26,Tue,2
2000-09-27,2000,9,Sep,Sep 2000,Q3,2000-09,27,Wed,3
2000-09-28,2000,9,Sep,Sep 2000,Q3,2000-09,28,Thu,4
2000-09-29,2000,9,Sep,Sep 2000,Q3,2000-09,29,Fri,5
2000-09-30,2000,9,Sep,Sep 2000,Q3,2000-09,30,Sat,6
2000-10-01,2000,10,Oct,Oct 2000,Q4,2000-10,1,Sun,7
2000-10-02,2000,10,Oct,Oct 2000,Q4,2000-10,2,Mon,1
2000-10-03,2000,10,Oct,Oct 2000,Q4,2000-10,3,Tue,2
2000-10-04,2000,10,Oct,Oct 2000,Q4,2000-10,4,Wed,3
2000-10-05,2000,10,Oct,Oct 2000,Q4,2000-10,5,Thu,4
2000-10-06,2000,10,Oct,Oct 2000,Q4,2000-10,6,Fri,5
2000-10-07,2000,10,Oct,Oct 2000,Q4,2000-10,7,Sat,6
2000-10-08,2000,10,Oct,Oct 2000,Q4,2000-10,8,Sun,7
2000-10-09,2000,10,Oct,Oct 2000,Q4,2000-10,9,Mon,1
2000-10-10,2000,10,Oct,Oct 2000,Q4,2000-10,10,Tue,2
2000-10-11,2000,10,Oct,Oct 2000,Q4,2000-10,11,Wed,3
2000-10-12,2000,10,Oct,Oct 2000,Q4,2000-10,12,Thu,4
2000-10-13,2000,10,Oct,Oct 2000,Q4,2000-10,13,Fri,5
2000-10-14,2000,10,Oct,Oct 2000,Q4,2000-10,14,Sat,6
2000-10-15,2000,10,Oct,Oct 2000,Q4,2000-10,15,Sun,7
2000-10-16,2000,10,Oct,Oct 2000,Q4,2000-10,16,Mon,1
2000-10-17,2000,10,Oct,Oct 2000,Q4,2000-10,17,Tue,2
2000-10-18,2000,10,Oct,Oct 2000,Q4,2000-10,18,Wed,3
2000-10-19,2000,10,Oct,Oct 2000,Q4,2000-10,19,Thu,4
2000-10-20,2000,10,Oct,Oct 2000,Q4,2000-10,20,Fri,5
2000-10-21,2000,10,Oct,Oct 2000,Q4,2000-10,21,Sat,6
2000-10-22,2000,10,Oct,Oct 2000,Q4,2000-10,22,Sun,7
2000-10-23,2000,10,Oct,Oct 2000,Q4,2000-10,23,Mon,1
2000-10-24,2000,10,Oct,Oct 2000,Q4,2000-10,24,Tue,2
2000-10-25,2000,10,Oct,Oct 2000,Q4,2000-10,25,Wed,3
2000-10-26,2000,10,Oct,Oct 2000,Q4,2000-10,26,Thu,4
2000-10-27,2000,10,Oct,Oct 2000,Q4,2000-10,27,Fri,5
2000-10-28,2000,10,Oct,Oct 2000,Q4,2000-10,28,Sat,6
2000-10-29,2000,10,Oct,Oct 2000,Q4,2000-10,29,Sun,7
2000-10-30,2000,10,Oct,Oct 2000,Q4,2000-10,30,Mon,1
2000-10-31,2000,10,Oct,Oct 2000,Q4,2000-10,31,Tue,2
2000-11-01,2000,11,Nov,Nov 2000,Q4,2000-11,1,Wed,3
2000-11-02,2000,11,Nov,Nov 2000,Q4,2000-11,2,Thu,4
2000-11-03,2000,11,Nov,Nov 2000,Q4,2000-11,3,Fri,5
2000-11-04,2000,11,Nov,Nov 2000,Q4,2000-11,4,Sat,6
2000-11-05,2000,11,Nov,Nov 2000,Q4,2000-11,5,Sun,7
2000-11-06,2000,11,Nov,Nov 2000,Q4,2000-11,6,Mon,1
2000-11-07,2000,11,Nov,Nov 2000,Q4,2000-11,7,Tue,2
2000-11-08,2000,11,Nov,Nov 2000,Q4,2000-11,8,Wed,3
2000-11-09,2000,11,Nov,Nov 2000,Q4,2000-11,9,Thu,4
2000-11-10,2000,11,Nov,Nov 2000,Q4,2000-11,10,Fri,5
2000-11-11,2000,11,Nov,Nov 2000,Q4,2000-11,11,Sat,6
2000-11-12,2000,11,Nov,Nov 2000,Q4,2000-11,12,Sun,7
2000-11-13,2000,11,Nov,Nov 2000,Q4,2000-11,13,Mon,1
2000-11-14,2000,11,Nov,Nov 2000,Q4,2000-11,14,Tue,2
2000-11-15,2000,11,Nov,Nov 2000,Q4,2000-11,15,Wed,3
2000-11-16,2000,11,Nov,Nov 2000,Q4,2000-11,16,Thu,4
2000-11-17,2000,11,Nov,Nov 2000,Q4,2000-11,17,Fri,5
2000-11-18,2000,11,Nov,Nov 2000,Q4,2000-11,18,Sat,6
2000-11-19,2000,11,Nov,Nov 2000,Q4,2000-11,19,Sun,7
2000-11-20,2000,11,Nov,Nov 2000,Q4,2000-11,20,Mon,1
2000-11-21,2000,11,Nov,Nov 2000,Q4,2000-11,21,Tue,2
2000-11-22,2000,11,Nov,Nov 2000,Q4,2000-11,22,Wed,3
2000-11-23,2000,11,Nov,Nov 2000,Q4,2000-11,23,Thu,4
2000-11-24,2000,11,Nov,Nov 2000,Q4,2000-11,24,Fri,5
2000-11-25,2000,11,Nov,Nov 2000,Q4,2000-11,25,Sat,6
2000-11-26,2000,11,Nov,Nov 2000,Q4,2000-11,26,Sun,7
2000-11-27,2000,11,Nov,Nov 2000,Q4,2000-11,27,Mon,1
2000-11-28,2000,11,Nov,Nov 2000,Q4,2000-11,28,Tue,2
2000-11-29,2000,11,Nov,Nov 2000,Q4,2000-11,29,Wed,3
2000-11-30,2000,11,Nov,Nov 2000,Q4,2000-11,30,Thu,4
2000-12-01,2000,12,Dec,Dec 2000,Q4,2000-12,1,Fri,5
2000-12-02,2000,12,Dec,Dec 2000,Q4,2000-12,2,Sat,6
2000-12-03,2000,12,Dec,Dec 2000,Q4,2000-12,3,Sun,7
2000-12-04,2000,12,Dec,Dec 2000,Q4,2000-12,4,Mon,1
2000-12-05,2000,12,Dec,Dec 2000,Q4,2000-12,5,Tue,2
2000-12-06,2000,12,Dec,Dec 2000,Q4,2000-12,6,Wed,3
2000-12-07,2000,12,Dec,Dec 2000,Q4,2000-12,7,Thu,4
2000-12-08,2000,12,Dec,Dec 2000,Q4,2000-12,8,Fri,5
2000-12-09,2000,12,Dec,Dec 2000,Q4,2000-12,9,Sat,6
2000-12-10,2000,12,Dec,Dec 2000,Q4,2000-12,10,Sun,7
2000-12-11,2000,12,Dec,Dec 2000,Q4,2000-12,11,Mon,1
2000-12-12,2000,12,Dec,Dec 2000,Q4,2000-12,12,Tue,2
2000-12-13,2000,12,Dec,Dec 2000,Q4,2000-12,13,Wed,3
2000-12-14,2000,12,Dec,Dec 2000,Q4,2000-12,14,Thu,4
2000-12-15,2000,12,Dec,Dec 2000,Q4,2000-12,15,Fri,5
