SalesOrderNumber,SalesOrderLineNumber,ProductKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,OrderDateKey,DueDateKey,ShipDateKey,OrderQuantity,UnitPrice,ExtendedAmount,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber
SO10036,2,47,24,1,4,6,20251111,20251116,20251112,1,776.68,776.68,0.0,455.26,455.26,776.68,64.08,17.0,TRK550081,PO787326
SO10036,1,13,24,1,4,6,20240320,20240325,20240325,1,579.5,579.5,0.0,301.9,301.9,579.5,47.81,9.73,TRK108454,PO829386
SO10036,1,16,88,1,1,2,20250504,20250508,20250506,2,566.54,1133.08,0.0,321.39,642.78,1133.08,93.48,24.35,TRK208214,PO428572
SO10037,2,39,95,1,3,5,20240516,20240521,20240517,1,2542.13,2542.13,0.0,1472.24,1472.24,2542.13,209.73,65.88,TRK561477,PO468247
SO10038,1,20,55,1,1,2,20250329,20250404,20250330,2,3785.07,7570.14,0.0,2197.87,4395.74,7570.14,624.54,279.32,TRK718213,PO865470
SO10039,3,45,99,1,2,4,20240523,20240529,20240526,2,693.43,1386.86,0.0,427.6,855.2,1386.86,114.42,40.69,TRK916808,PO824016
SO10040,2,39,7,1,1,1,20250605,20250611,20250611,1,2542.13,2542.13,0.0,1472.24,1472.24,2542.13,209.73,55.3,TRK618927,PO504630
SO10041,4,31,29,1,1,1,20240313,20240316,20240316,2,843.25,1686.5,0.0,496.89,993.78,1686.5,139.14,64.12,TRK483162,PO672896
SO10041,4,61,45,1,1,2,20240310,20240313,20240313,1,51.06,51.06,0.0,22.14,22.14,51.06,4.21,0.84,TRK631219,PO400404
SO10042,2,54,129,2,4,6,20240325,20240330,20240328,3,45.95,137.85,6.89,21.77,65.31,130.96,10.8,1.64,TRK947312,PO262924
SO10042,2,42,138,1,4,6,20251027,20251031,20251030,2,2416.26,4832.52,0.0,1576.33,3152.66,4832.52,398.68,149.62,TRK160718,PO356355
SO10042,2,56,23,1,1,1,20250915,20250918,20250918,1,51.95,51.95,0.0,21.17,21.17,51.95,4.29,1.56,TRK225245,PO113280
SO10042,3,2,36,1,1,1,20241221,20241228,20241223,1,2120.81,2120.81,0.0,1338.0,1338.0,2120.81,174.97,44.87,TRK868538,PO223791
SO10043,4,43,8,1,2,4,20240306,20240313,20240312,2,2345.63,4691.26,0.0,1415.45,2830.9,4691.26,387.03,184.14,TRK577309,PO635593
SO10044,1,8,93,3,1,2,20240619,20240627,20240621,2,1689.57,3379.14,337.91,956.83,1913.66,3041.23,250.9,53.69,TRK339499,PO876764
SO10045,2,1,131,3,1,1,20240113,20240119,20240114,1,2249.08,2249.08,224.91,1293.6,1293.6,2024.17,166.99,48.89,TRK287654,PO999138
SO10046,1,54,10,1,3,5,20250302,20250310,20250305,2,45.95,91.9,0.0,21.77,43.54,91.9,7.58,3.2,TRK626428,PO806033
SO10046,3,23,14,2,1,3,20240217,20240226,20240218,1,2278.75,2278.75,113.94,1453.1,1453.1,2164.81,178.6,78.6,TRK443199,PO190581
SO10047,4,59,142,1,2,4,20241025,20241101,20241031,1,47.42,47.42,0.0,22.49,22.49,47.42,3.91,1.36,TRK910143,PO913575
SO10048,1,70,51,1,1,1,20250223,20250226,20250225,2,36.49,72.98,0.0,13.17,26.34,72.98,6.02,1.92,TRK451291,PO101533
SO10048,2,40,97,1,1,1,20240831,20240909,20240904,1,2294.32,2294.32,0.0,1421.92,1421.92,2294.32,189.28,89.1,TRK846221,PO393418
SO10049,1,6,24,3,4,6,20250616,20250625,20250622,1,2100.96,2100.96,210.1,1401.2,1401.2,1890.86,156.0,69.71,TRK708982,PO200219
SO10050,3,18,130,2,1,1,20240317,20240320,20240321,3,529.51,1588.53,79.43,312.58,937.74,1509.1,124.5,45.08,TRK373668,PO992247
SO10051,2,51,81,3,1,1,20241130,20241208,20241204,5,7.37,36.85,3.69,2.07,10.35,33.16,2.74,0.6,TRK242723,PO917823
SO10052,2,14,150,1,1,3,20250405,20250415,20250408,1,504.81,504.81,0.0,290.0,290.0,504.81,41.65,11.2,TRK573869,PO423284
SO10053,1,34,119,1,1,2,20241107,20241110,20241109,1,748.1,748.1,0.0,449.62,449.62,748.1,61.72,26.24,TRK845702,PO360276
SO10054,4,51,92,1,3,5,20241102,20241109,20241109,4,7.37,29.48,0.0,2.07,8.28,29.48,2.43,1.17,TRK996114,PO574167
SO10054,2,32,143,1,4,6,20240523,20240527,20240524,1,789.13,789.13,0.0,500.36,500.36,789.13,65.1,9.35,TRK237064,PO307757
SO10054,1,48,103,1,4,6,20251022,20251026,20251027,3,690.18,2070.54,0.0,452.27,1356.81,2070.54,170.82,57.11,TRK122859,PO167603
SO10055,4,57,51,1,1,1,20241205,20241209,20241206,2,49.0,98.0,0.0,20.87,41.74,98.0,8.09,3.75,TRK961599,PO859620
SO10056,3,64,102,1,3,5,20250312,20250317,20250315,1,45.23,45.23,0.0,23.51,23.51,45.23,3.73,0.74,TRK567676,PO255851
SO10057,4,32,9,1,3,5,20250225,20250307,20250226,3,789.13,2367.39,0.0,500.36,1501.08,2367.39,195.31,29.9,TRK309146,PO773870
SO10058,4,32,135,4,1,1,20250710,20250713,20250714,3,789.13,2367.39,355.11,500.36,1501.08,2012.28,166.01,67.33,TRK460745,PO693128
SO10058,3,42,129,1,4,6,20240127,20240204,20240201,2,2416.26,4832.52,0.0,1576.33,3152.66,4832.52,398.68,80.08,TRK161437,PO947935
SO10059,1,68,121,2,4,6,20240826,20240831,20240827,2,32.68,65.36,3.27,13.97,27.94,62.09,5.12,1.08,TRK901164,PO330069
SO10059,3,50,148,3,2,4,20240626,20240701,20240628,2,37.64,75.28,7.53,13.75,27.5,67.75,5.59,1.88,TRK720298,PO129576
SO10060,2,19,91,4,2,4,20250519,20250526,20250521,2,3766.58,7533.16,1129.97,2212.17,4424.34,6403.19,528.26,158.24,TRK730889,PO329437
SO10060,3,68,6,1,1,2,20250920,20250926,20250927,3,32.68,98.04,0.0,13.97,41.91,98.04,8.09,1.36,TRK162448,PO122977
SO10060,1,19,38,3,1,1,20250108,20250112,20250111,1,3766.58,3766.58,376.66,2212.17,2212.17,3389.92,279.67,105.55,TRK452909,PO416423
SO10060,3,18,83,2,1,1,20250323,20250402,20250329,1,529.51,529.51,26.48,312.58,312.58,503.03,41.5,9.82,TRK334081,PO797860
SO10060,4,49,45,2,1,2,20241028,20241102,20241030,1,800.9,800.9,40.05,463.15,463.15,760.85,62.77,24.24,TRK992083,PO908274
SO10060,2,5,146,1,1,1,20250918,20250924,20250924,1,2172.52,2172.52,0.0,1294.67,1294.67,2172.52,179.23,58.59,TRK447255,PO881549
SO10061,3,31,20,4,1,3,20240620,20240624,20240627,1,843.25,843.25,126.49,496.89,496.89,716.76,59.13,22.41,TRK568325,PO111949
SO10062,4,27,68,1,3,5,20241224,20241231,20241231,1,2351.92,2351.92,0.0,1624.05,1624.05,2351.92,194.03,31.14,TRK559507,PO868170
SO10062,2,22,108,1,2,4,20250122,20250130,20250127,2,3422.23,6844.46,0.0,2097.84,4195.68,6844.46,564.67,145.52,TRK270557,PO573209
SO10062,2,5,19,1,4,6,20240924,20240928,20240925,1,2172.52,2172.52,0.0,1294.67,1294.67,2172.52,179.23,44.0,TRK867541,PO178645
SO10062,2,12,141,1,3,5,20250920,20250930,20250926,1,1607.83,1607.83,0.0,897.63,897.63,1607.83,132.65,17.57,TRK736818,PO555292
SO10062,3,7,41,1,3,5,20240713,20240722,20240719,1,1525.01,1525.01,0.0,904.22,904.22,1525.01,125.81,40.6,TRK792687,PO395198
SO10063,1,31,77,1,1,1,20250808,20250818,20250810,1,843.25,843.25,0.0,496.89,496.89,843.25,69.57,9.81,TRK408857,PO963918
SO10064,4,26,123,1,1,1,20240623,20240630,20240624,1,2392.26,2392.26,0.0,1447.45,1447.45,2392.26,197.36,57.91,TRK593821,PO612855
SO10065,3,12,68,1,3,5,20240708,20240716,20240712,3,1607.83,4823.49,0.0,897.63,2692.89,4823.49,397.94,101.69,TRK561101,PO587648
SO10065,4,29,68,1,3,5,20240603,20240607,20240604,1,740.85,740.85,0.0,503.82,503.82,740.85,61.12,22.26,TRK893202,PO718372
SO10066,1,8,59,2,3,5,20250304,20250314,20250309,2,1689.57,3379.14,168.96,956.83,1913.66,3210.18,264.84,117.01,TRK513982,PO995420
SO10067,2,65,9,3,3,5,20250808,20250813,20250809,4,68.94,275.76,27.58,28.43,113.72,248.18,20.47,9.55,TRK322182,PO947732
SO10068,3,17,50,1,1,2,20251130,20251209,20251202,1,543.13,543.13,0.0,333.47,333.47,543.13,44.81,21.68,TRK435281,PO862422
SO10069,1,12,18,1,3,5,20250719,20250727,20250726,2,1607.83,3215.66,0.0,897.63,1795.26,3215.66,265.29,58.8,TRK924758,PO834435
SO10070,3,54,134,1,4,6,20240531,20240604,20240601,1,45.95,45.95,0.0,21.77,21.77,45.95,3.79,1.24,TRK661652,PO460572
SO10071,4,34,106,1,2,4,20250808,20250818,20250809,2,748.1,1496.2,0.0,449.62,899.24,1496.2,123.44,22.69,TRK140666,PO515018
SO10071,3,31,85,2,2,4,20241002,20241010,20241003,1,843.25,843.25,42.16,496.89,496.89,801.09,66.09,16.13,TRK393964,PO983788
SO10072,1,13,126,1,1,2,20250329,20250406,20250401,1,579.5,579.5,0.0,301.9,301.9,579.5,47.81,18.47,TRK297064,PO563173
SO10072,1,53,55,1,1,2,20250612,20250620,20250619,5,47.17,235.85,0.0,22.5,112.5,235.85,19.46,2.76,TRK426236,PO844037
SO10072,1,52,130,2,1,1,20250620,20250623,20250622,2,21.61,43.22,2.16,8.05,16.1,41.06,3.39,0.65,TRK361609,PO134677
SO10073,1,7,117,2,3,5,20241007,20241015,20241014,1,1525.01,1525.01,76.25,904.22,904.22,1448.76,119.52,34.66,TRK814263,PO132047
SO10074,3,48,62,1,1,3,20240630,20240710,20240705,2,690.18,1380.36,0.0,452.27,904.54,1380.36,113.88,36.63,TRK885342,PO971230
SO10075,2,37,24,1,4,6,20240615,20240621,20240622,1,829.09,829.09,0.0,471.59,471.59,829.09,68.4,13.8,TRK382154,PO783238
SO10076,1,66,105,3,1,2,20251129,20251202,20251203,1,63.0,63.0,6.3,25.09,25.09,56.7,4.68,2.12,TRK334639,PO364650
SO10077,4,36,79,3,1,3,20241223,20250102,20241226,2,745.84,1491.68,149.17,520.44,1040.88,1342.51,110.76,22.21,TRK712879,PO207282
SO10078,3,66,2,4,2,4,20250118,20250125,20250121,5,63.0,315.0,47.25,25.09,125.45,267.75,22.09,8.18,TRK389913,PO771712
SO10078,1,36,84,1,3,5,20251029,20251105,20251031,1,745.84,745.84,0.0,520.44,520.44,745.84,61.53,10.81,TRK944554,PO998960
SO10079,4,41,104,1,2,4,20240127,20240206,20240130,3,2407.41,7222.23,0.0,1425.74,4277.22,7222.23,595.83,128.43,TRK872519,PO137034
SO10080,2,25,150,2,1,3,20240815,20240825,20240821,1,2496.04,2496.04,124.8,1485.17,1485.17,2371.24,195.63,49.21,TRK981473,PO789558
SO10080,2,24,143,1,4,6,20240511,20240518,20240517,1,2287.04,2287.04,0.0,1464.07,1464.07,2287.04,188.68,78.33,TRK812730,PO451936
SO10081,3,29,23,1,1,1,20241110,20241119,20241117,1,740.85,740.85,0.0,503.82,503.82,740.85,61.12,27.12,TRK586288,PO992562
SO10082,4,61,31,3,2,4,20250820,20250824,20250824,1,51.06,51.06,5.11,22.14,22.14,45.95,3.79,1.69,TRK655575,PO412848
SO10082,4,7,106,1,2,4,20240724,20240801,20240728,1,1525.01,1525.01,0.0,904.22,904.22,1525.01,125.81,60.41,TRK250181,PO431752
SO10083,2,11,47,1,2,4,20240630,20240708,20240706,2,1730.74,3461.48,0.0,980.12,1960.24,3461.48,285.57,40.64,TRK898169,PO911117
SO10084,4,21,44,2,1,1,20240331,20240405,20240405,2,3695.11,7390.22,369.51,2013.24,4026.48,7020.71,579.21,161.56,TRK600590,PO501936
SO10085,1,5,2,1,2,4,20250117,20250120,20250120,2,2172.52,4345.04,0.0,1294.67,2589.34,4345.04,358.47,142.11,TRK809621,PO104324
SO10086,2,29,64,3,3,5,20241115,20241120,20241116,3,740.85,2222.55,222.26,503.82,1511.46,2000.29,165.02,43.02,TRK168458,PO963862
SO10086,3,39,12,1,1,3,20250616,20250624,20250620,1,2542.13,2542.13,0.0,1472.24,1472.24,2542.13,209.73,93.14,TRK613989,PO476701
SO10087,2,22,49,1,4,6,20240817,20240822,20240819,2,3422.23,6844.46,0.0,2097.84,4195.68,6844.46,564.67,219.18,TRK229144,PO484398
SO10087,1,49,10,1,3,5,20250701,20250704,20250706,3,800.9,2402.7,0.0,463.15,1389.45,2402.7,198.22,95.72,TRK150578,PO823255
SO10088,1,54,30,1,2,4,20250714,20250721,20250718,3,45.95,137.85,0.0,21.77,65.31,137.85,11.37,4.28,TRK415743,PO541315
SO10089,1,67,26,1,3,5,20240520,20240529,20240527,2,68.93,137.86,0.0,28.93,57.86,137.86,11.37,5.1,TRK396439,PO219550
SO10090,1,64,28,1,1,2,20240926,20241002,20240929,2,45.23,90.46,0.0,23.51,47.02,90.46,7.46,2.81,TRK674765,PO620465
SO10090,2,62,54,1,1,3,20240114,20240118,20240115,2,51.18,102.36,0.0,22.11,44.22,102.36,8.44,3.59,TRK194458,PO917392
SO10091,4,10,131,2,1,1,20240919,20240925,20240923,3,1731.69,5195.07,259.75,874.99,2624.97,4935.32,407.16,195.73,TRK152512,PO204657
SO10092,1,6,45,1,1,2,20251124,20251202,20251128,1,2100.96,2100.96,0.0,1401.2,1401.2,2100.96,173.33,67.56,TRK110142,PO993385
SO10092,2,22,36,1,1,1,20250324,20250331,20250330,1,3422.23,3422.23,0.0,2097.84,2097.84,3422.23,282.33,43.77,TRK219361,PO520245
SO10093,2,59,103,3,4,6,20250504,20250513,20250510,2,47.42,94.84,9.48,22.49,44.98,85.36,7.04,3.12,TRK829987,PO861697
SO10094,4,21,16,1,4,6,20250827,20250906,20250903,1,3695.11,3695.11,0.0,2013.24,2013.24,3695.11,304.85,100.02,TRK917012,PO476018
SO10095,3,17,8,3,2,4,20240425,20240504,20240429,2,543.13,1086.26,108.63,333.47,666.94,977.63,80.65,11.12,TRK112960,PO838793
SO10096,3,29,135,3,1,1,20250615,20250619,20250619,3,740.85,2222.55,222.26,503.82,1511.46,2000.29,165.02,59.71,TRK795951,PO809147
SO10097,4,20,99,3,2,4,20250919,20250922,20250920,2,3785.07,7570.14,757.01,2197.87,4395.74,6813.13,562.08,199.64,TRK993251,PO619920
SO10098,4,10,43,1,4,6,20241204,20241211,20241205,2,1731.69,3463.38,0.0,874.99,1749.98,3463.38,285.73,87.3,TRK522866,PO956794
SO10099,1,11,61,1,4,6,20250809,20250819,20250810,2,1730.74,3461.48,0.0,980.12,1960.24,3461.48,285.57,123.57,TRK621533,PO881439
SO10100,3,14,5,1,2,4,20250724,20250727,20250731,2,504.81,1009.62,0.0,290.0,580.0,1009.62,83.29,12.85,TRK633030,PO689648
SO10101,4,59,53,1,1,1,20240225,20240302,20240303,2,47.42,94.84,0.0,22.49,44.98,94.84,7.82,2.24,TRK851470,PO789089
SO10101,3,58,94,1,4,6,20251105,20251111,20251106,1,52.24,52.24,0.0,23.3,23.3,52.24,4.31,1.06,TRK674295,PO647341
SO10101,1,14,96,3,1,3,20250519,20250524,20250526,1,504.81,504.81,50.48,290.0,290.0,454.33,37.48,14.31,TRK366641,PO740524
SO10102,3,25,51,3,1,1,20250206,20250212,20250210,1,2496.04,2496.04,249.6,1485.17,1485.17,2246.44,185.33,78.03,TRK213000,PO893928
SO10103,2,6,107,3,4,6,20250825,20250829,20250901,3,2100.96,6302.88,630.29,1401.2,4203.6,5672.59,467.99,208.48,TRK623059,PO104548
SO10103,2,7,136,3,1,1,20250822,20250901,20250827,2,1525.01,3050.02,305.0,904.22,1808.44,2745.02,226.46,91.77,TRK865979,PO954845
SO10104,2,14,33,1,2,4,20250912,20250920,20250917,2,504.81,1009.62,0.0,290.0,580.0,1009.62,83.29,36.79,TRK386886,PO517196
SO10104,3,38,88,2,1,2,20240521,20240530,20240526,2,2443.29,4886.58,244.33,1457.25,2914.5,4642.25,382.99,143.91,TRK984027,PO835570
SO10104,3,41,141,2,3,5,20250720,20250726,20250722,3,2407.41,7222.23,361.11,1425.74,4277.22,6861.12,566.04,111.78,TRK805034,PO239116
SO10105,4,65,46,1,2,4,20241126,20241130,20241203,4,68.94,275.76,0.0,28.43,113.72,275.76,22.75,5.67,TRK806995,PO884197
SO10106,1,37,137,2,2,4,20250619,20250623,20250620,2,829.09,1658.18,82.91,471.59,943.18,1575.27,129.96,33.75,TRK309612,PO379947
SO10107,4,37,42,1,3,5,20240304,20240311,20240306,3,829.09,2487.27,0.0,471.59,1414.77,2487.27,205.2,81.1,TRK207458,PO746036
SO10107,3,29,144,1,1,3,20250202,20250208,20250207,3,740.85,2222.55,0.0,503.82,1511.46,2222.55,183.36,74.52,TRK826596,PO796772
SO10108,4,49,13,1,1,1,20241116,20241119,20241117,2,800.9,1601.8,0.0,463.15,926.3,1601.8,132.15,51.75,TRK970300,PO336504
